country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,10812,10515,218,391679,43,7,2021-02-02T08:00:00
AT,Vorarlberg,21934,21773,253,538320,51,9,2021-02-02T08:00:00
AT,Kärnten,26054,24434,629,455645,93,9,2021-02-02T08:00:00
AT,Salzburg,34694,32102,432,517757,107,19,2021-02-02T08:00:00
AT,Tirol,44710,43331,540,965580,129,31,2021-02-02T08:00:00
AT,Steiermark,49383,45426,1595,1003509,243,36,2021-02-02T08:00:00
AT,Niederösterreich,63390,60352,1182,2175497,384,54,2021-02-02T08:00:00
AT,Oberösterreich,80417,77390,1456,1377713,198,34,2021-02-02T08:00:00
AT,Wien,81856,78424,1473,2056132,453,87,2021-02-02T08:00:00
AT,,413250,393747,7778,9481832,1701,286,2021-02-02T08:00:00
