country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,11490,11133,230,501092,47,8,2021-02-16T15:00:00
AT,Vorarlberg,22653,22612,265,672935,29,9,2021-02-16T15:00:00
AT,Kärnten,27668,25931,661,572902,75,6,2021-02-16T15:00:00
AT,Salzburg,36322,34108,476,682096,79,11,2021-02-16T15:00:00
AT,Tirol,46175,45135,562,1174300,91,20,2021-02-16T15:00:00
AT,Steiermark,52420,48444,1685,1422320,235,34,2021-02-16T15:00:00
AT,Niederösterreich,67409,64039,1266,2804645,333,60,2021-02-16T15:00:00
AT,Oberösterreich,83094,80041,1496,1762713,122,21,2021-02-16T15:00:00
AT,Wien,85984,82465,1619,2618247,365,89,2021-02-16T15:00:00
AT,,433215,413908,8260,12211250,1376,258,2021-02-16T15:00:00
