country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,5727,3088,55,85289,109,17,2020-11-17T08:00:00
AT,Kärnten,9354,4485,85,127387,318,25,2020-11-17T08:00:00
AT,Vorarlberg,12439,7878,72,149800,183,35,2020-11-17T08:00:00
AT,Salzburg,15357,8244,65,152266,193,23,2020-11-17T08:00:00
AT,Steiermark,22450,9028,324,281765,679,101,2020-11-17T08:00:00
AT,Tirol,25266,17701,191,359307,357,62,2020-11-17T08:00:00
AT,Niederösterreich,31169,19660,324,454645,661,79,2020-11-17T08:00:00
AT,Oberösterreich,42594,26853,330,353046,1067,121,2020-11-17T08:00:00
AT,Wien,49616,32734,441,730607,730,149,2020-11-17T08:00:00
AT,,213972,129671,1887,2694112,4297,612,2020-11-17T08:00:00
