country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,17304,16734,323,1263842,58,25,2021-04-26T15:00:00
AT,Vorarlberg,27286,25781,289,1895824,37,8,2021-04-26T15:00:00
AT,Kärnten,37940,35765,788,1208264,81,20,2021-04-26T15:00:00
AT,Salzburg,48205,44970,560,1573674,73,17,2021-04-26T15:00:00
AT,Tirol,59202,56626,616,3201879,105,33,2021-04-26T15:00:00
AT,Steiermark,73994,67656,1971,3695653,272,49,2021-04-26T15:00:00
AT,Niederösterreich,102862,98391,1706,7094047,361,115,2021-04-26T15:00:00
AT,Oberösterreich,110204,104688,1693,4409268,246,67,2021-04-26T15:00:00
AT,Wien,130789,124606,2152,6493900,591,183,2021-04-26T15:00:00
AT,,607786,575217,10098,30836351,1824,517,2021-04-26T15:00:00
