country,lau,cases,population,cases/100k pop.,datetime
FI,Salla,5,3413,146.498681511866,2021-07-28T09:00:00
FI,Muonio,5,2302,217.202432667246,2021-07-28T09:00:00
FI,Heinävesi,6,3196,187.734668335419,2021-07-28T09:00:00
FI,Geta,6,514,1167.31517509728,2021-07-28T09:00:00
FI,Merikarvia,6,3064,195.822454308094,2021-07-28T09:00:00
FI,Toivakka,6,2401,249.895876718034,2021-07-28T09:00:00
FI,Juupajoki,6,1795,334.261838440111,2021-07-28T09:00:00
FI,Kivijärvi,7,1104,634.057971014493,2021-07-28T09:00:00
FI,Kaskinen,7,1279,547.302580140735,2021-07-28T09:00:00
FI,Rautjärvi,7,3154,221.940393151554,2021-07-28T09:00:00
FI,Kuortane,8,3537,226.180378852135,2021-07-28T09:00:00
FI,Lestijärvi,8,722,1108.03324099723,2021-07-28T09:00:00
FI,Miehikkälä,8,1879,425.758382118148,2021-07-28T09:00:00
FI,Karstula,8,3863,207.092932953663,2021-07-28T09:00:00
FI,Enonkoski,8,1374,582.241630276565,2021-07-28T09:00:00
FI,Hartola,8,2662,300.525920360631,2021-07-28T09:00:00
FI,Puolanka,8,2494,320.769847634322,2021-07-28T09:00:00
FI,Teuva,8,4995,160.16016016016,2021-07-28T09:00:00
FI,Sonkajärvi,9,3844,234.131113423517,2021-07-28T09:00:00
FI,Paltamo,9,3239,277.863538129052,2021-07-28T09:00:00
FI,Eckerö,9,960,937.5,2021-07-28T09:00:00
FI,Simo,9,2948,305.291723202171,2021-07-28T09:00:00
FI,Pelkosenniemi,9,931,966.702470461869,2021-07-28T09:00:00
FI,Konnevesi,9,2593,347.088314693405,2021-07-28T09:00:00
FI,Ähtäri,10,5525,180.995475113122,2021-07-28T09:00:00
FI,Pihtipudas,10,3936,254.065040650407,2021-07-28T09:00:00
FI,Tohmajärvi,10,4320,231.481481481481,2021-07-28T09:00:00
FI,Padasjoki,10,2858,349.895031490553,2021-07-28T09:00:00
FI,Rääkkylä,10,2070,483.091787439613,2021-07-28T09:00:00
FI,Humppila,10,2177,459.347726228755,2021-07-28T09:00:00
FI,Kyyjärvi,11,1293,850.734725444702,2021-07-28T09:00:00
FI,Isokyrö,11,4470,246.085011185682,2021-07-28T09:00:00
FI,Keitele,11,2158,509.731232622799,2021-07-28T09:00:00
FI,Jämijärvi,11,1708,644.028103044497,2021-07-28T09:00:00
FI,Sulkava,11,2483,443.012484897302,2021-07-28T09:00:00
FI,Kaavi,11,2810,391.459074733096,2021-07-28T09:00:00
FI,Pyhäjärvi,11,5038,218.340611353712,2021-07-28T09:00:00
FI,Utsjoki,11,1223,899.427636958299,2021-07-28T09:00:00
FI,Evijärvi,11,2410,456.43153526971,2021-07-28T09:00:00
FI,Lumijoki,11,2036,540.275049115914,2021-07-28T09:00:00
FI,Alavieska,12,2518,476.568705321684,2021-07-28T09:00:00
FI,Puumala,12,2131,563.115908024402,2021-07-28T09:00:00
FI,Utajärvi,12,2624,457.317073170732,2021-07-28T09:00:00
FI,Savitaipale,13,3331,390.273191233864,2021-07-28T09:00:00
FI,Urjala,13,4653,279.389641091769,2021-07-28T09:00:00
FI,Kustavi,13,957,1358.41170323929,2021-07-28T09:00:00
FI,Polvijärvi,13,4205,309.155766944114,2021-07-28T09:00:00
FI,Lappajärvi,14,2927,478.305432183123,2021-07-28T09:00:00
