country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,121,50.2,2020-06-03T00:00:00
NO,møre og romsdal,142,53.5,2020-06-03T00:00:00
NO,troms og finnmark,252,103.6,2020-06-03T00:00:00
NO,vestfold og telemark,287,68.4,2020-06-03T00:00:00
NO,agder,338,110,2020-06-03T00:00:00
NO,rogaland,438,91.3,2020-06-03T00:00:00
NO,innlandet,508,136.8,2020-06-03T00:00:00
NO,trøndelag,537,114.6,2020-06-03T00:00:00
NO,vestland,882,138.6,2020-06-03T00:00:00
NO,viken,2305,185.7,2020-06-03T00:00:00
NO,oslo,2643,381.1,2020-06-03T00:00:00
