country,lau,cases,population,deaths,hospitalized,datetime
NL,Terschelling,2,4889,,0,2020-05-01T13:53:00
NL,Achtkarspelen,10,27836,,0,2020-05-01T13:53:00
NL,Vlieland,0,1152,,0,2020-05-01T13:53:00
NL,Loppersum,2,9533,,0,2020-05-01T13:53:00
NL,Schiermonnikoog,0,947,,0,2020-05-01T13:53:00
NL,Ameland,0,3718,,0,2020-05-01T13:53:00
NL,Opmeer,8,11837,,1,2020-05-01T13:53:00
NL,Aa en Hunze,14,25453,,1,2020-05-01T13:53:00
NL,Rozendaal,3,1705,,1,2020-05-01T13:53:00
NL,Hardinxveld-Giessendam,29,18295,,1,2020-05-01T13:53:00
NL,Noord-Beveland,6,7395,,1,2020-05-01T13:53:00
NL,Eemnes,14,9247,,2,2020-05-01T13:53:00
NL,Stadskanaal,5,31688,,2,2020-05-01T13:53:00
NL,Veendam,8,27387,,2,2020-05-01T13:53:00
NL,Dantumadiel,6,18916,,2,2020-05-01T13:53:00
NL,Weststellingwerf,27,25916,,3,2020-05-01T13:53:00
NL,Zoeterwoude,9,8611,,3,2020-05-01T13:53:00
NL,Appingedam,5,11644,,3,2020-05-01T13:53:00
NL,Kapelle,22,12691,,3,2020-05-01T13:53:00
NL,Ooststellingwerf,7,25472,,3,2020-05-01T13:53:00
NL,Landsmeer,22,11492,,3,2020-05-01T13:53:00
NL,Borger-Odoorn,8,25558,,4,2020-05-01T13:53:00
NL,Tytsjerksteradiel,15,32046,,4,2020-05-01T13:53:00
NL,Midden-Delfland,16,19344,,4,2020-05-01T13:53:00
NL,Harlingen,16,15720,,4,2020-05-01T13:53:00
NL,Noordenveld,18,31242,,4,2020-05-01T13:53:00
NL,Scherpenzeel,22,9880,,4,2020-05-01T13:53:00
NL,Reimerswaal,28,22728,,4,2020-05-01T13:53:00
NL,Putten,20,24113,,4,2020-05-01T13:53:00
NL,Texel,10,13573,,4,2020-05-01T13:53:00
NL,Drechterland,42,19717,,4,2020-05-01T13:53:00
NL,Pekela,5,12199,,4,2020-05-01T13:53:00
NL,Wierden,44,24440,,4,2020-05-01T13:53:00
NL,Beemster,9,10025,,4,2020-05-01T13:53:00
NL,Winterswijk,38,28865,,4,2020-05-01T13:53:00
NL,Westerwolde,6,25796,,5,2020-05-01T13:53:00
NL,Woensdrecht,59,21883,,5,2020-05-01T13:53:00
NL,Borsele,22,22738,,5,2020-05-01T13:53:00
NL,Ouder-Amstel,32,14029,,5,2020-05-01T13:53:00
NL,Renswoude,18,5448,,5,2020-05-01T13:53:00
NL,Uitgeest,21,13649,,5,2020-05-01T13:53:00
NL,Delfzijl,16,24666,,5,2020-05-01T13:53:00
NL,Midden-Groningen,30,60804,,6,2020-05-01T13:53:00
NL,Berkelland,68,43748,,6,2020-05-01T13:53:00
NL,Veere,26,21885,,6,2020-05-01T13:53:00
NL,Kaag en Braassem,26,27300,,6,2020-05-01T13:53:00
NL,Koggenland,33,22752,,6,2020-05-01T13:53:00
NL,Mook en Middelaar,33,7847,,6,2020-05-01T13:53:00
NL,Opsterland,23,29742,,6,2020-05-01T13:53:00
NL,Lisse,21,22957,,6,2020-05-01T13:53:00
NL,Midden-Drenthe,20,33182,,6,2020-05-01T13:53:00
NL,Aalten,53,27117,,6,2020-05-01T13:53:00
NL,Noardeast-Fryslân,23,45251,,6,2020-05-01T13:53:00
NL,Het Hogeland,27,47834,,7,2020-05-01T13:53:00
NL,Wijdemeren,23,24360,,7,2020-05-01T13:53:00
NL,Hendrik-Ido-Ambacht,32,31204,,7,2020-05-01T13:53:00
NL,Hillegom,29,22208,,7,2020-05-01T13:53:00
NL,Papendrecht,53,32133,,7,2020-05-01T13:53:00
NL,Bergen (L.),22,13085,,7,2020-05-01T13:53:00
NL,Westvoorne,24,14728,,7,2020-05-01T13:53:00
NL,Oldambt,13,38213,,7,2020-05-01T13:53:00
NL,Waalre,27,17454,,7,2020-05-01T13:53:00
NL,Baarle-Nassau,21,6860,,7,2020-05-01T13:53:00
NL,Bodegraven-Reeuwijk,46,34869,,7,2020-05-01T13:53:00
NL,Blaricum,24,11536,,7,2020-05-01T13:53:00
NL,Losser,22,22685,,7,2020-05-01T13:53:00
