country,nuts_3,cases,population,deaths,datetime
GR,Cruise Ship,0,0.0,0,2020-09-11T00:00:00
GR,Mount Athos,4,1811.0,0,2020-09-11T00:00:00
GR,Phocis,4,40343.0,0,2020-09-11T00:00:00
GR,Evrytania,5,20081.0,0,2020-09-11T00:00:00
GR,Laconia,6,89138.0,0,2020-09-11T00:00:00
GR,Samos,8,42859.0,0,2020-09-11T00:00:00
GR,Lefkada,8,23693.0,0,2020-09-11T00:00:00
GR,Arta,9,67877.0,1,2020-09-11T00:00:00
GR,Arcadia,15,86685.0,0,2020-09-11T00:00:00
GR,Lasithi,15,75381.0,0,2020-09-11T00:00:00
GR,Grevena,15,31757.0,1,2020-09-11T00:00:00
GR,Preveza,16,57491.0,0,2020-09-11T00:00:00
GR,Kefalonia,19,39032.0,0,2020-09-11T00:00:00
GR,Thesprotia,26,43587.0,0,2020-09-11T00:00:00
GR,Florina,27,51414.0,0,2020-09-11T00:00:00
GR,Chios,27,52674.0,0,2020-09-11T00:00:00
GR,Rethymno,32,85609.0,0,2020-09-11T00:00:00
GR,Phthiotis,33,158231.0,0,2020-09-11T00:00:00
GR,Messenia,33,159954.0,0,2020-09-11T00:00:00
GR,Boeotia,34,117920.0,0,2020-09-11T00:00:00
GR,Aetolia-Acarnania,35,210802.0,0,2020-09-11T00:00:00
GR,Drama,41,98287.0,1,2020-09-11T00:00:00
GR,Corinthia,45,145082.0,0,2020-09-11T00:00:00
GR,Zakynthos,46,40759.0,2,2020-09-11T00:00:00
GR,Rhodope,47,112039.0,2,2020-09-11T00:00:00
GR,Euboea,50,210815.0,0,2020-09-11T00:00:00
GR,Dodecanese,51,190988.0,0,2020-09-11T00:00:00
GR,Kilkis,53,80419.0,0,2020-09-11T00:00:00
GR,Trikala,53,131085.0,0,2020-09-11T00:00:00
GR,Serres,59,176430.0,1,2020-09-11T00:00:00
GR,Ioannina,68,167901.0,0,2020-09-11T00:00:00
GR,Corfu (Kerkyra),70,104371.0,1,2020-09-11T00:00:00
GR,Elis,73,159300.0,1,2020-09-11T00:00:00
GR,Karditsa,74,113544.0,1,2020-09-11T00:00:00
GR,Magnesia,87,203808.0,0,2020-09-11T00:00:00
GR,Chania,98,156585.0,1,2020-09-11T00:00:00
GR,Achaea,103,309694.0,7,2020-09-11T00:00:00
GR,Kavala,120,138687.0,1,2020-09-11T00:00:00
GR,Evros,131,147947.0,13,2020-09-11T00:00:00
GR,Pieria,151,126698.0,1,2020-09-11T00:00:00
GR,Chalkidiki,153,107719.0,2,2020-09-11T00:00:00
GR,Herakleion,158,305490.0,1,2020-09-11T00:00:00
GR,Kastoria,158,50322.0,14,2020-09-11T00:00:00
GR,Cyclades,182,118027.0,0,2020-09-11T00:00:00
GR,Imathia,185,140611.0,1,2020-09-11T00:00:00
GR,Argolis,191,97044.0,0,2020-09-11T00:00:00
GR,Lesbos,192,103698.0,8,2020-09-11T00:00:00
GR,Kozani,222,150196.0,17,2020-09-11T00:00:00
GR,Pella,280,139680.0,2,2020-09-11T00:00:00
GR,Larissa,300,284325.0,5,2020-09-11T00:00:00
GR,Imported (They asked to be tested),328,0.0,0,2020-09-11T00:00:00
GR,Xanthi,345,111222.0,13,2020-09-11T00:00:00
GR,No Location Provided,693,10816286.0,32,2020-09-11T00:00:00
GR,Imported (Detected at the entry points),1226,0.0,0,2020-09-11T00:00:00
GR,Thessaloniki,1537,1110551.0,58,2020-09-11T00:00:00
GR,Attica,4793,3828434.0,114,2020-09-11T00:00:00
