country,nuts_3,cases,intensive_care,datetime
Scotland,Forth Valley,1053,,2020-06-19T00:00:00
Scotland,Ayrshire and Arran,1248,,2020-06-19T00:00:00
Scotland,Grampian,1410,,2020-06-19T00:00:00
Scotland,Tayside,1760,,2020-06-19T00:00:00
Scotland,Scotland,18104,19,2020-06-19T00:00:00
Scotland,Lanarkshire,2685,,2020-06-19T00:00:00
Scotland,Dumfries and Galloway,284,,2020-06-19T00:00:00
Scotland,Lothian,3134,6,2020-06-19T00:00:00
Scotland,Borders,345,,2020-06-19T00:00:00
Scotland,Highland,373,,2020-06-19T00:00:00
Scotland,Greater Glasgow and Clyde,4814,,2020-06-19T00:00:00
Scotland,Shetland,54,,2020-06-19T00:00:00
Scotland,Eileanan Siar (Western Isles),7,,2020-06-19T00:00:00
Scotland,Orkney,9,,2020-06-19T00:00:00
Scotland,Fife,928,,2020-06-19T00:00:00
Scotland,Golden Jubilee National Hospital,,,2020-06-19T00:00:00
