country,cases,intensive_care,datetime
Scotland,1078,,2020-07-07T00:00:00
Scotland,1257,,2020-07-07T00:00:00
Scotland,1426,,2020-07-07T00:00:00
Scotland,1772,,2020-07-07T00:00:00
Scotland,18302,7,2020-07-07T00:00:00
Scotland,2731,,2020-07-07T00:00:00
Scotland,295,,2020-07-07T00:00:00
Scotland,3158,,2020-07-07T00:00:00
Scotland,345,,2020-07-07T00:00:00
Scotland,376,,2020-07-07T00:00:00
Scotland,4862,,2020-07-07T00:00:00
Scotland,54,,2020-07-07T00:00:00
Scotland,7,,2020-07-07T00:00:00
Scotland,9,,2020-07-07T00:00:00
Scotland,932,,2020-07-07T00:00:00
Scotland,,,2020-07-07T00:00:00
