country,cases,intensive_care,datetime
Scotland,1083,,2020-07-08T00:00:00
Scotland,1257,,2020-07-08T00:00:00
Scotland,1427,,2020-07-08T00:00:00
Scotland,1772,,2020-07-08T00:00:00
Scotland,18309,11,2020-07-08T00:00:00
Scotland,2731,,2020-07-08T00:00:00
Scotland,295,,2020-07-08T00:00:00
Scotland,3158,,2020-07-08T00:00:00
Scotland,345,,2020-07-08T00:00:00
Scotland,376,,2020-07-08T00:00:00
Scotland,4863,,2020-07-08T00:00:00
Scotland,54,,2020-07-08T00:00:00
Scotland,7,,2020-07-08T00:00:00
Scotland,9,,2020-07-08T00:00:00
Scotland,932,,2020-07-08T00:00:00
Scotland,,,2020-07-08T00:00:00
