country,nuts_2,cases,datetime
FR,Mayotte,0,2020-03-10T15:00:00
FR,La Réunion,0,2020-03-10T15:00:00
FR,Guadeloupe,0,2020-03-10T15:00:00
FR,Saint-Barthélémy,1,2020-03-10T15:00:00
FR,Saint-Martin,2,2020-03-10T15:00:00
FR,Martinique,3,2020-03-10T15:00:00
FR,Guyane,5,2020-03-10T15:00:00
FR,Oversea,11,2020-03-10T15:00:00
FR,Centre-Val de Loire,18,2020-03-10T15:00:00
FR,Pays de la Loire,27,2020-03-10T15:00:00
FR,Normandie,37,2020-03-10T15:00:00
FR,Corse,42,2020-03-10T15:00:00
FR,Nouvelle-Aquitaine,54,2020-03-10T15:00:00
FR,Occitanie,61,2020-03-10T15:00:00
FR,Bretagne,81,2020-03-10T15:00:00
FR,Provence-Alpes-Côte d’Azur,89,2020-03-10T15:00:00
FR,Bourgogne-Franche-Comté,146,2020-03-10T15:00:00
FR,Hauts-de-France,209,2020-03-10T15:00:00
FR,Auvergne-Rhône-Alpes,211,2020-03-10T15:00:00
FR,Ile-de-France,334,2020-03-10T15:00:00
FR,Grand Est,464,2020-03-10T15:00:00
FR,Metropolis,1773,2020-03-10T15:00:00
