wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;6;0;6;0.00;0.00;0.00;2;0;2;26;0;0;482;6;476;0;t00;2023-07-26
dolnoœl¹skie;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;t02;2023-07-26
kujawsko-pomorskie;0;0;0;0;0;0;0;0;0;1;0;0;5;0;5;0;t04;2023-07-26
lubelskie;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;t06;2023-07-26
lubuskie;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;t08;2023-07-26
³ódzkie;0;0;0;0;0;0;0;0;0;2;0;0;12;0;12;0;t10;2023-07-26
ma³opolskie;0;0;0;0;0;0;0;0;0;3;0;0;22;0;22;0;t12;2023-07-26
mazowieckie;3;0;3;0.01;0;0.01;1;0;1;2;0;0;306;3;303;0;t14;2023-07-26
opolskie;0;0;0;0;0;0;0;0;0;0;0;0;20;0;20;0;t16;2023-07-26
podkarpackie;0;0;0;0;0;0;0;0;0;1;0;0;5;0;5;0;t18;2023-07-26
podlaskie;1;0;1;0.01;0;0.01;0;0;0;2;0;0;11;1;10;0;t20;2023-07-26
pomorskie;0;0;0;0;0;0;1;0;1;1;0;0;5;0;5;0;t22;2023-07-26
œl¹skie;0;0;0;0;0;0;0;0;0;4;0;0;26;0;26;0;t24;2023-07-26
œwiêtokrzyskie;1;0;1;0.01;0;0.01;0;0;0;1;0;0;3;1;2;0;t26;2023-07-26
warmiñsko-mazurskie;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;t28;2023-07-26
wielkopolskie;0;0;0;0;0;0;0;0;0;5;0;0;14;0;14;0;t30;2023-07-26
zachodniopomorskie;1;0;1;0.01;0;0.01;0;0;0;4;0;0;8;1;7;0;t32;2023-07-26
