wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt
Ca³y kraj;3211;0.84;27;2;25;366;11155;144552;19002;3820;14825;357;t00
dolnoœl¹skie;109;0.38;;;;10;573;9142;1047;130;903;14;t02
kujawsko-pomorskie;302;1.46;5;;5;90;1050;13204;1157;331;794;32;t04
lubelskie;126;0.60;3;1;2;12;632;6659;898;154;733;11;t06
lubuskie;49;0.49;;;;12;422;4894;371;91;276;4;t08
³ódzkie;199;0.81;;;;22;752;9551;1126;238;869;19;t10
ma³opolskie;190;0.56;1;;1;12;334;4883;1182;241;903;38;t12
mazowieckie;409;0.75;4;;4;46;1455;21887;2343;487;1809;47;t14
opolskie;50;0.51;;;;;221;3138;360;69;290;1;t16
podkarpackie;76;0.36;;;;2;307;3486;653;95;546;12;t18
podlaskie;70;0.59;1;1;;3;261;3613;356;87;268;1;t20
pomorskie;404;1.72;2;;2;48;970;12894;2114;439;1636;39;t22
œl¹skie;224;0.50;4;;4;19;923;11381;1687;280;1371;36;t24
œwiêtokrzyskie;55;0.45;;;;6;122;1965;453;78;364;11;t26
warmiñsko-mazurskie;136;0.96;;;;25;742;10201;694;155;534;5;t28
wielkopolskie;309;0.88;7;;7;33;1219;15432;1537;355;1154;28;t30
zachodniopomorskie;282;1.67;;;;26;1059;12214;1138;333;775;30;t32
