wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;1968;742;2710;0.51;0.19;0.71;22;6;16;2992;0;0;6631;2819;3805;7;t00;2023-12-27
dolnoœl¹skie;133;56;189;0.46;0.19;0.65;1;1;0;97;0;0;371;197;174;0;t02;2023-12-27
kujawsko-pomorskie;129;55;184;0.62;0.27;0.89;4;0;4;209;0;0;502;193;309;0;t04;2023-12-27
lubelskie;200;59;259;0.95;0.28;1.23;1;0;1;346;0;0;700;279;421;0;t06;2023-12-27
lubuskie;44;20;64;0.44;0.20;0.63;1;0;1;65;0;0;152;67;85;0;t08;2023-12-27
³ódzkie;79;40;119;0.32;0.16;0.49;0;0;0;181;0;0;268;121;146;1;t10;2023-12-27
ma³opolskie;178;56;234;0.52;0.16;0.69;1;1;0;323;0;0;503;238;264;1;t12;2023-12-27
mazowieckie;282;94;376;0.52;0.17;0.69;1;1;0;363;0;0;1111;388;723;0;t14;2023-12-27
opolskie;34;23;57;0.35;0.23;0.58;2;1;1;42;0;0;111;59;52;0;t16;2023-12-27
podkarpackie;148;39;187;0.70;0.18;0.88;1;1;0;204;0;0;420;202;216;2;t18;2023-12-27
podlaskie;76;24;100;0.65;0.20;0.85;2;0;2;114;0;0;205;102;103;0;t20;2023-12-27
pomorskie;63;24;87;0.27;0.10;0.37;0;0;0;103;0;0;266;87;177;2;t22;2023-12-27
œl¹skie;226;82;308;0.50;0.18;0.68;3;1;2;447;0;0;800;320;480;0;t24;2023-12-27
œwiêtokrzyskie;55;20;75;0.45;0.16;0.61;1;0;1;83;0;0;138;75;63;0;t26;2023-12-27
warmiñsko-mazurskie;53;28;81;0.37;0.20;0.57;0;0;0;100;0;0;189;83;106;0;t28;2023-12-27
wielkopolskie;164;80;244;0.47;0.23;0.70;4;0;4;171;0;0;376;247;129;0;t30;2023-12-27
zachodniopomorskie;86;38;124;0.51;0.22;0.73;0;0;0;140;0;0;332;127;204;1;t32;2023-12-27
