wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;17;6;23;0.00;0.00;0.01;0;0;0;1;0;0;707;25;681;1;t00;2024-02-04
dolnoœl¹skie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;t02;2024-02-04
kujawsko-pomorskie;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;t04;2024-02-04
lubelskie;0;2;2;0;0.01;0.01;0;0;0;0;0;0;22;2;20;0;t06;2024-02-04
lubuskie;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;t08;2024-02-04
³ódzkie;1;0;1;0.00;0;0.00;0;0;0;0;0;0;18;1;17;0;t10;2024-02-04
ma³opolskie;1;0;1;0.00;0;0.00;0;0;0;0;0;0;31;1;29;1;t12;2024-02-04
mazowieckie;3;1;4;0.01;0.00;0.01;0;0;0;0;0;0;340;4;336;0;t14;2024-02-04
opolskie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;t16;2024-02-04
podkarpackie;1;0;1;0.00;0;0.00;0;0;0;0;0;0;12;1;11;0;t18;2024-02-04
podlaskie;0;0;0;0;0;0;0;0;0;0;0;0;35;0;35;0;t20;2024-02-04
pomorskie;5;2;7;0.02;0.01;0.03;0;0;0;0;0;0;104;8;96;0;t22;2024-02-04
œl¹skie;1;1;2;0.00;0.00;0.00;0;0;0;1;0;0;31;3;28;0;t24;2024-02-04
œwiêtokrzyskie;0;0;0;0;0;0;0;0;0;0;0;0;20;0;20;0;t26;2024-02-04
warmiñsko-mazurskie;1;0;1;0.01;0;0.01;0;0;0;0;0;0;6;1;5;0;t28;2024-02-04
wielkopolskie;1;0;1;0.00;0;0.00;0;0;0;0;0;0;14;1;13;0;t30;2024-02-04
zachodniopomorskie;1;0;1;0.01;0;0.01;0;0;0;0;0;0;8;1;7;0;t32;2024-02-04
