wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;58;11;69;0.02;0.00;0.02;0;0;0;0;0;0;797;76;719;2;t00;2024-01-14
dolnoœl¹skie;5;0;5;0.02;0;0.02;0;0;0;0;0;0;17;5;12;0;t02;2024-01-14
kujawsko-pomorskie;2;2;4;0.01;0.01;0.02;0;0;0;0;0;0;15;4;11;0;t04;2024-01-14
lubelskie;12;1;13;0.06;0.00;0.06;0;0;0;0;0;0;48;15;33;0;t06;2024-01-14
lubuskie;1;0;1;0.01;0;0.01;0;0;0;0;0;0;13;1;12;0;t08;2024-01-14
³ódzkie;0;0;0;0;0;0;0;0;0;0;0;0;11;0;11;0;t10;2024-01-14
ma³opolskie;1;0;1;0.00;0;0.00;0;0;0;0;0;0;22;1;21;0;t12;2024-01-14
mazowieckie;6;1;7;0.01;0.00;0.01;0;0;0;0;0;0;352;10;341;1;t14;2024-01-14
opolskie;12;1;13;0.12;0.01;0.13;0;0;0;0;0;0;72;15;56;1;t16;2024-01-14
podkarpackie;1;1;2;0.00;0.00;0.01;0;0;0;0;0;0;9;2;7;0;t18;2024-01-14
podlaskie;2;0;2;0.02;0;0.02;0;0;0;0;0;0;29;2;27;0;t20;2024-01-14
pomorskie;3;2;5;0.01;0.01;0.02;0;0;0;0;0;0;31;5;26;0;t22;2024-01-14
œl¹skie;7;0;7;0.02;0;0.02;0;0;0;0;0;0;66;7;59;0;t24;2024-01-14
œwiêtokrzyskie;2;2;4;0.02;0.02;0.03;0;0;0;0;0;0;33;4;29;0;t26;2024-01-14
warmiñsko-mazurskie;0;0;0;0;0;0;0;0;0;0;0;0;14;0;14;0;t28;2024-01-14
wielkopolskie;4;0;4;0.01;0;0.01;0;0;0;0;0;0;25;4;21;0;t30;2024-01-14
zachodniopomorskie;0;1;1;0;0.01;0.01;0;0;0;0;0;0;7;1;6;0;t32;2024-01-14
