wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;266;124;390;0.07;0.03;0.10;3;2;1;661;0;0;1932;398;1533;1;t00;2024-10-31
dolnoœl¹skie;13;6;19;0.04;0.02;0.07;0;0;0;28;0;0;71;19;52;0;t02;2024-10-31
kujawsko-pomorskie;22;7;29;0.11;0.03;0.14;0;0;0;57;0;0;117;29;88;0;t04;2024-10-31
lubelskie;26;21;47;0.12;0.10;0.22;0;0;0;72;0;0;153;50;102;1;t06;2024-10-31
lubuskie;6;1;7;0.06;0.01;0.07;0;0;0;7;0;0;20;7;13;0;t08;2024-10-31
³ódzkie;8;2;10;0.03;0.01;0.04;0;0;0;29;0;0;58;10;48;0;t10;2024-10-31
ma³opolskie;19;11;30;0.06;0.03;0.09;1;1;0;56;0;0;139;32;107;0;t12;2024-10-31
mazowieckie;42;16;58;0.08;0.03;0.11;0;0;0;73;0;0;490;58;432;0;t14;2024-10-31
opolskie;8;0;8;0.08;0;0.08;0;0;0;9;0;0;60;8;52;0;t16;2024-10-31
podkarpackie;13;8;21;0.06;0.04;0.10;0;0;0;42;0;0;120;21;99;0;t18;2024-10-31
podlaskie;26;6;32;0.22;0.05;0.27;0;0;0;77;0;0;108;33;75;0;t20;2024-10-31
pomorskie;10;8;18;0.04;0.03;0.08;0;0;0;43;0;0;89;19;70;0;t22;2024-10-31
œl¹skie;23;11;34;0.05;0.02;0.08;0;0;0;67;0;0;163;34;129;0;t24;2024-10-31
œwiêtokrzyskie;7;5;12;0.06;0.04;0.10;0;0;0;18;0;0;28;12;16;0;t26;2024-10-31
warmiñsko-mazurskie;7;4;11;0.05;0.03;0.08;1;0;1;23;0;0;39;11;28;0;t28;2024-10-31
wielkopolskie;14;11;25;0.04;0.03;0.07;1;1;0;24;0;0;82;25;57;0;t30;2024-10-31
zachodniopomorskie;18;7;25;0.11;0.04;0.15;0;0;0;36;0;0;111;25;86;0;t32;2024-10-31
