wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;1390;534;1924;0.36;0.14;0.50;1;1;0;1524;0;0;3529;1979;1549;1;t00;2024-09-06
dolnoœl¹skie;81;24;105;0.28;0.08;0.36;0;0;0;50;0;0;183;109;74;0;t02;2024-09-06
kujawsko-pomorskie;114;59;173;0.55;0.29;0.84;0;0;0;137;0;0;294;177;117;0;t04;2024-09-06
lubelskie;138;62;200;0.66;0.29;0.95;0;0;0;191;0;0;318;204;113;1;t06;2024-09-06
lubuskie;21;12;33;0.21;0.12;0.33;0;0;0;26;0;0;53;33;20;0;t08;2024-09-06
³ódzkie;64;19;83;0.26;0.08;0.34;1;1;0;87;0;0;161;85;76;0;t10;2024-09-06
ma³opolskie;84;34;118;0.25;0.10;0.35;0;0;0;108;0;0;196;122;74;0;t12;2024-09-06
mazowieckie;267;100;367;0.49;0.18;0.68;0;0;0;247;0;0;813;379;434;0;t14;2024-09-06
opolskie;19;8;27;0.19;0.08;0.28;0;0;0;25;0;0;74;27;47;0;t16;2024-09-06
podkarpackie;78;27;105;0.37;0.13;0.49;0;0;0;100;0;0;169;110;59;0;t18;2024-09-06
podlaskie;86;30;116;0.73;0.25;0.99;0;0;0;110;0;0;178;120;58;0;t20;2024-09-06
pomorskie;69;14;83;0.29;0.06;0.35;0;0;0;59;0;0;190;86;104;0;t22;2024-09-06
œl¹skie;72;26;98;0.16;0.06;0.22;0;0;0;91;0;0;170;100;70;0;t24;2024-09-06
œwiêtokrzyskie;52;11;63;0.42;0.09;0.51;0;0;0;38;0;0;67;63;4;0;t26;2024-09-06
warmiñsko-mazurskie;56;44;100;0.39;0.31;0.70;0;0;0;94;0;0;191;101;90;0;t28;2024-09-06
wielkopolskie;114;45;159;0.33;0.13;0.45;0;0;0;90;0;0;236;163;73;0;t30;2024-09-06
zachodniopomorskie;61;19;80;0.36;0.11;0.47;0;0;0;68;0;0;155;82;73;0;t32;2024-09-06
