wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;265;169;434;0.07;0.04;0.11;0;0;0;652;0;0;1807;445;1357;5;t00;2023-10-09
dolnoœl¹skie;16;14;30;0.06;0.05;0.10;0;0;0;39;0;0;90;31;59;0;t02;2023-10-09
kujawsko-pomorskie;6;7;13;0.03;0.03;0.06;0;0;0;34;0;0;101;13;88;0;t04;2023-10-09
lubelskie;24;10;34;0.11;0.05;0.16;0;0;0;49;0;0;109;34;73;2;t06;2023-10-09
lubuskie;7;10;17;0.07;0.10;0.17;0;0;0;15;0;0;35;17;18;0;t08;2023-10-09
³ódzkie;10;5;15;0.04;0.02;0.06;0;0;0;31;0;0;46;15;31;0;t10;2023-10-09
ma³opolskie;19;18;37;0.06;0.05;0.11;0;0;0;77;0;0;108;37;71;0;t12;2023-10-09
mazowieckie;60;33;93;0.11;0.06;0.17;0;0;0;95;0;0;535;95;439;1;t14;2023-10-09
opolskie;12;4;16;0.12;0.04;0.16;0;0;0;11;0;0;46;17;29;0;t16;2023-10-09
podkarpackie;9;2;11;0.04;0.01;0.05;0;0;0;53;0;0;84;11;73;0;t18;2023-10-09
podlaskie;14;15;29;0.12;0.13;0.25;0;0;0;33;0;0;67;29;38;0;t20;2023-10-09
pomorskie;14;7;21;0.06;0.03;0.09;0;0;0;33;0;0;89;21;68;0;t22;2023-10-09
œl¹skie;22;12;34;0.05;0.03;0.08;0;0;0;70;0;0;107;35;71;1;t24;2023-10-09
œwiêtokrzyskie;13;6;19;0.11;0.05;0.15;0;0;0;13;0;0;26;19;7;0;t26;2023-10-09
warmiñsko-mazurskie;5;6;11;0.04;0.04;0.08;0;0;0;28;0;0;60;11;49;0;t28;2023-10-09
wielkopolskie;15;6;21;0.04;0.02;0.06;0;0;0;22;0;0;100;26;73;1;t30;2023-10-09
zachodniopomorskie;19;13;32;0.11;0.08;0.19;0;0;0;48;0;0;110;33;77;0;t32;2023-10-09
