wojewodztwo;liczba_przypadkow;liczba_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;6265;1.63;93;30;63;21945;2612;199527;56611;6893;49447;271;t00;2021-10-25
dolnoœl¹skie;298;1.03;1;1;0;1215;119;10372;3509;338;3153;18;t02;2021-10-25
kujawsko-pomorskie;242;1.17;2;0;2;998;92;7008;2786;257;2502;27;t04;2021-10-25
lubelskie;1290;6.13;23;9;14;3660;583;29110;5354;1373;3941;40;t06;2021-10-25
lubuskie;75;0.74;0;0;0;420;29;4226;1305;83;1217;5;t08;2021-10-25
³ódzkie;351;1.43;12;8;4;1174;123;10329;4207;392;3803;12;t10;2021-10-25
ma³opolskie;290;0.85;8;5;3;1145;138;9389;3528;317;3196;15;t12;2021-10-25
mazowieckie;1130;2.08;14;4;10;3465;496;47687;8353;1272;7036;45;t14;2021-10-25
opolskie;81;0.83;2;0;2;367;32;3258;1218;106;1106;6;t16;2021-10-25
podkarpackie;255;1.20;2;1;1;1027;165;8506;3327;270;3046;11;t18;2021-10-25
podlaskie;572;4.86;13;0;13;1797;252;15954;2325;620;1692;13;t20;2021-10-25
pomorskie;364;1.55;3;0;3;1092;105;11409;3323;392;2906;25;t22;2021-10-25
œl¹skie;273;0.61;4;0;4;1541;127;9826;5206;320;4875;11;t24;2021-10-25
œwiêtokrzyskie;74;0.60;2;0;2;363;42;2644;1391;94;1292;5;t26;2021-10-25
warmiñsko-mazurskie;298;2.10;4;2;2;993;60;8030;2460;315;2140;5;t28;2021-10-25
wielkopolskie;225;0.64;2;0;2;1421;117;11435;3222;237;2967;18;t30;2021-10-25
zachodniopomorskie;351;2.07;1;0;1;1240;119;10300;2848;400;2435;13;t32;2021-10-25
