wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;1049;411;1460;0.27;0.11;0.38;4;0;4;1160;0;0;2745;1494;1248;3;t00;2024-08-28
dolnoœl¹skie;39;17;56;0.13;0.06;0.19;0;0;0;49;0;0;114;57;56;1;t02;2024-08-28
kujawsko-pomorskie;98;31;129;0.47;0.15;0.62;1;0;1;109;0;0;242;131;111;0;t04;2024-08-28
lubelskie;125;40;165;0.59;0.19;0.78;0;0;0;142;0;0;226;167;59;0;t06;2024-08-28
lubuskie;16;5;21;0.16;0.05;0.21;1;0;1;13;0;0;47;21;25;1;t08;2024-08-28
³ódzkie;39;15;54;0.16;0.06;0.22;0;0;0;42;0;0;88;54;34;0;t10;2024-08-28
ma³opolskie;72;26;98;0.21;0.08;0.29;0;0;0;82;0;0;179;98;81;0;t12;2024-08-28
mazowieckie;203;83;286;0.37;0.15;0.53;2;0;2;179;0;0;675;291;384;0;t14;2024-08-28
opolskie;12;9;21;0.12;0.09;0.21;0;0;0;6;0;0;48;22;26;0;t16;2024-08-28
podkarpackie;70;24;94;0.33;0.11;0.44;0;0;0;73;0;0;141;96;45;0;t18;2024-08-28
podlaskie;69;37;106;0.59;0.31;0.90;0;0;0;99;0;0;150;106;44;0;t20;2024-08-28
pomorskie;43;15;58;0.18;0.06;0.25;0;0;0;59;0;0;109;60;49;0;t22;2024-08-28
œl¹skie;63;21;84;0.14;0.05;0.19;0;0;0;101;0;0;194;86;107;1;t24;2024-08-28
œwiêtokrzyskie;29;16;45;0.24;0.13;0.37;0;0;0;26;0;0;64;48;16;0;t26;2024-08-28
warmiñsko-mazurskie;43;19;62;0.30;0.13;0.44;0;0;0;47;0;0;89;62;27;0;t28;2024-08-28
wielkopolskie;82;38;120;0.23;0.11;0.34;0;0;0;78;0;0;178;128;50;0;t30;2024-08-28
zachodniopomorskie;43;15;58;0.25;0.09;0.34;0;0;0;55;0;0;135;64;71;0;t32;2024-08-28
