wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;195;38;233;0.05;0.01;0.06;0;0;0;5;0;0;2372;269;2091;12;t00;2023-04-02
dolnoœl¹skie;11;3;14;0.04;0.01;0.05;0;0;0;0;0;0;61;16;45;0;t02;2023-04-02
kujawsko-pomorskie;9;2;11;0.04;0.01;0.05;0;0;0;1;0;0;56;12;44;0;t04;2023-04-02
lubelskie;14;4;18;0.07;0.02;0.09;0;0;0;0;0;0;364;19;345;0;t06;2023-04-02
lubuskie;4;0;4;0.04;0;0.04;0;0;0;0;0;0;47;5;41;1;t08;2023-04-02
³ódzkie;10;2;12;0.04;0.01;0.05;0;0;0;0;0;0;113;14;99;0;t10;2023-04-02
ma³opolskie;18;6;24;0.05;0.02;0.07;0;0;0;0;0;0;129;25;104;0;t12;2023-04-02
mazowieckie;32;2;34;0.06;0.00;0.06;0;0;0;4;0;0;508;44;463;1;t14;2023-04-02
opolskie;4;2;6;0.04;0.02;0.06;0;0;0;0;0;0;81;7;72;2;t16;2023-04-02
podkarpackie;9;0;9;0.04;0;0.04;0;0;0;0;0;0;107;10;96;1;t18;2023-04-02
podlaskie;7;2;9;0.06;0.02;0.08;0;0;0;0;0;0;63;9;54;0;t20;2023-04-02
pomorskie;6;1;7;0.03;0.00;0.03;0;0;0;0;0;0;80;7;70;3;t22;2023-04-02
œl¹skie;20;4;24;0.04;0.01;0.05;0;0;0;0;0;0;307;26;280;1;t24;2023-04-02
œwiêtokrzyskie;15;2;17;0.12;0.02;0.14;0;0;0;0;0;0;83;19;64;0;t26;2023-04-02
warmiñsko-mazurskie;4;1;5;0.03;0.01;0.04;0;0;0;0;0;0;66;6;60;0;t28;2023-04-02
wielkopolskie;7;2;9;0.02;0.01;0.03;0;0;0;0;0;0;88;10;78;0;t30;2023-04-02
zachodniopomorskie;11;4;15;0.06;0.02;0.09;0;0;0;0;0;0;73;18;55;0;t32;2023-04-02
