wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;429;185;614;0.11;0.05;0.16;1;1;0;563;0;0;1404;620;784;0;t00;2024-08-08
dolnoœl¹skie;29;7;36;0.10;0.02;0.12;0;0;0;21;0;0;64;36;28;0;t02;2024-08-08
kujawsko-pomorskie;38;19;57;0.18;0.09;0.28;0;0;0;50;0;0;102;57;45;0;t04;2024-08-08
lubelskie;51;34;85;0.24;0.16;0.40;0;0;0;101;0;0;126;87;39;0;t06;2024-08-08
lubuskie;6;2;8;0.06;0.02;0.08;0;0;0;7;0;0;15;8;7;0;t08;2024-08-08
³ódzkie;10;4;14;0.04;0.02;0.06;0;0;0;14;0;0;31;14;17;0;t10;2024-08-08
ma³opolskie;24;6;30;0.07;0.02;0.09;0;0;0;37;0;0;63;30;33;0;t12;2024-08-08
mazowieckie;81;34;115;0.15;0.06;0.21;0;0;0;103;0;0;463;115;348;0;t14;2024-08-08
opolskie;2;3;5;0.02;0.03;0.05;0;0;0;3;0;0;34;5;29;0;t16;2024-08-08
podkarpackie;25;6;31;0.12;0.03;0.15;0;0;0;25;0;0;53;32;21;0;t18;2024-08-08
podlaskie;30;17;47;0.25;0.14;0.40;1;1;0;38;0;0;70;47;23;0;t20;2024-08-08
pomorskie;10;3;13;0.04;0.01;0.06;0;0;0;19;0;0;39;13;26;0;t22;2024-08-08
œl¹skie;30;10;40;0.07;0.02;0.09;0;0;0;43;0;0;94;41;53;0;t24;2024-08-08
œwiêtokrzyskie;16;6;22;0.13;0.05;0.18;0;0;0;18;0;0;28;22;6;0;t26;2024-08-08
warmiñsko-mazurskie;14;11;25;0.10;0.08;0.18;0;0;0;25;0;0;42;25;17;0;t28;2024-08-08
wielkopolskie;44;14;58;0.13;0.04;0.17;0;0;0;40;0;0;85;58;27;0;t30;2024-08-08
zachodniopomorskie;17;5;22;0.10;0.03;0.13;0;0;0;18;0;0;50;22;28;0;t32;2024-08-08
