wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;296;146;442;0.08;0.04;0.12;1;1;0;396;0;0;1228;452;776;0;t00;2024-07-30
dolnoœl¹skie;8;11;19;0.03;0.04;0.07;0;0;0;15;0;0;40;20;20;0;t02;2024-07-30
kujawsko-pomorskie;26;12;38;0.13;0.06;0.18;0;0;0;33;0;0;73;42;31;0;t04;2024-07-30
lubelskie;27;20;47;0.13;0.10;0.22;0;0;0;48;0;0;74;47;27;0;t06;2024-07-30
lubuskie;7;2;9;0.07;0.02;0.09;0;0;0;8;0;0;16;9;7;0;t08;2024-07-30
³ódzkie;11;5;16;0.04;0.02;0.07;0;0;0;16;0;0;34;17;17;0;t10;2024-07-30
ma³opolskie;19;6;25;0.06;0.02;0.07;0;0;0;33;0;0;61;26;35;0;t12;2024-07-30
mazowieckie;50;21;71;0.09;0.04;0.13;0;0;0;41;0;0;429;71;358;0;t14;2024-07-30
opolskie;4;4;8;0.04;0.04;0.08;0;0;0;3;0;0;40;8;32;0;t16;2024-07-30
podkarpackie;13;6;19;0.06;0.03;0.09;0;0;0;23;0;0;37;19;18;0;t18;2024-07-30
podlaskie;8;8;16;0.07;0.07;0.14;1;1;0;27;0;0;45;16;29;0;t20;2024-07-30
pomorskie;16;4;20;0.07;0.02;0.09;0;0;0;25;0;0;47;20;27;0;t22;2024-07-30
œl¹skie;36;14;50;0.08;0.03;0.11;0;0;0;48;0;0;115;50;65;0;t24;2024-07-30
œwiêtokrzyskie;12;6;18;0.10;0.05;0.15;0;0;0;13;0;0;21;19;2;0;t26;2024-07-30
warmiñsko-mazurskie;20;4;24;0.14;0.03;0.17;0;0;0;18;0;0;40;25;15;0;t28;2024-07-30
wielkopolskie;18;14;32;0.05;0.04;0.09;0;0;0;24;0;0;56;33;23;0;t30;2024-07-30
zachodniopomorskie;15;8;23;0.09;0.05;0.14;0;0;0;21;0;0;56;23;33;0;t32;2024-07-30
