wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;1679;733;2412;0.44;0.19;0.63;9;1;8;2094;0;0;4709;2488;2216;5;t00;2023-11-30
dolnoœl¹skie;76;36;112;0.26;0.12;0.39;0;0;0;69;0;0;188;121;67;0;t02;2023-11-30
kujawsko-pomorskie;123;78;201;0.59;0.38;0.97;0;0;0;180;0;0;390;204;186;0;t04;2023-11-30
lubelskie;144;63;207;0.68;0.30;0.98;0;0;0;221;0;0;391;214;177;0;t06;2023-11-30
lubuskie;48;17;65;0.48;0.17;0.64;0;0;0;67;0;0;120;65;55;0;t08;2023-11-30
³ódzkie;75;40;115;0.31;0.16;0.47;1;1;0;98;0;0;224;118;106;0;t10;2023-11-30
ma³opolskie;112;40;152;0.33;0.12;0.45;0;0;0;188;0;0;322;157;165;0;t12;2023-11-30
mazowieckie;282;116;398;0.52;0.21;0.73;5;0;5;300;0;0;943;408;534;1;t14;2023-11-30
opolskie;41;21;62;0.42;0.21;0.63;0;0;0;45;0;0;146;64;82;0;t16;2023-11-30
podkarpackie;101;29;130;0.48;0.14;0.61;0;0;0;123;0;0;236;134;102;0;t18;2023-11-30
podlaskie;77;24;101;0.65;0.20;0.86;1;0;1;104;0;0;196;103;92;1;t20;2023-11-30
pomorskie;79;39;118;0.34;0.17;0.50;0;0;0;76;0;0;216;118;98;0;t22;2023-11-30
œl¹skie;171;80;251;0.38;0.18;0.56;0;0;0;202;0;0;437;264;171;2;t24;2023-11-30
œwiêtokrzyskie;69;23;92;0.56;0.19;0.75;0;0;0;72;0;0;130;96;34;0;t26;2023-11-30
warmiñsko-mazurskie;58;32;90;0.41;0.23;0.63;0;0;0;82;0;0;154;96;57;1;t28;2023-11-30
wielkopolskie;138;54;192;0.39;0.15;0.55;1;0;1;136;0;0;266;192;74;0;t30;2023-11-30
zachodniopomorskie;74;40;114;0.44;0.24;0.67;1;0;1;128;0;0;273;117;156;0;t32;2023-11-30
