wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;1897;752;2649;0.49;0.20;0.69;3;0;3;2128;0;0;4900;2701;2194;5;t00;2024-09-17
dolnoœl¹skie;76;43;119;0.26;0.15;0.41;0;0;0;83;0;0;244;119;124;1;t02;2024-09-17
kujawsko-pomorskie;146;70;216;0.71;0.34;1.04;1;0;1;185;0;0;437;226;210;1;t04;2024-09-17
lubelskie;236;92;328;1.12;0.44;1.56;0;0;0;296;0;0;447;331;116;0;t06;2024-09-17
lubuskie;25;9;34;0.25;0.09;0.34;0;0;0;22;0;0;60;34;26;0;t08;2024-09-17
³ódzkie;87;36;123;0.36;0.15;0.50;0;0;0;120;0;0;215;124;91;0;t10;2024-09-17
ma³opolskie;147;45;192;0.43;0.13;0.56;0;0;0;134;0;0;352;195;156;1;t12;2024-09-17
mazowieckie;328;137;465;0.60;0.25;0.86;0;0;0;323;0;0;1014;477;537;0;t14;2024-09-17
opolskie;18;13;31;0.18;0.13;0.32;0;0;0;15;0;0;69;31;38;0;t16;2024-09-17
podkarpackie;127;42;169;0.60;0.20;0.79;0;0;0;178;0;0;287;174;113;0;t18;2024-09-17
podlaskie;123;40;163;1.05;0.34;1.39;0;0;0;149;0;0;269;167;102;0;t20;2024-09-17
pomorskie;60;27;87;0.26;0.12;0.37;0;0;0;88;0;0;197;89;107;1;t22;2024-09-17
œl¹skie;126;45;171;0.28;0.10;0.38;1;0;1;159;0;0;351;173;178;0;t24;2024-09-17
œwiêtokrzyskie;76;28;104;0.62;0.23;0.85;0;0;0;80;0;0;133;105;28;0;t26;2024-09-17
warmiñsko-mazurskie;103;36;139;0.73;0.25;0.98;0;0;0;79;0;0;272;145;127;0;t28;2024-09-17
wielkopolskie;154;60;214;0.44;0.17;0.61;1;0;1;125;0;0;297;215;82;0;t30;2024-09-17
zachodniopomorskie;60;26;86;0.35;0.15;0.51;0;0;0;92;0;0;177;87;89;1;t32;2024-09-17
