wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;1136;325;1461;0.30;0.08;0.38;16;6;10;1611;0;0;7225;1590;5623;12;t00;2023-03-30
dolnoœl¹skie;70;13;83;0.24;0.04;0.29;0;0;0;82;0;0;329;85;243;1;t02;2023-03-30
kujawsko-pomorskie;63;19;82;0.30;0.09;0.40;0;0;0;128;0;0;452;88;362;2;t04;2023-03-30
lubelskie;99;23;122;0.47;0.11;0.58;0;0;0;83;0;0;555;127;427;1;t06;2023-03-30
lubuskie;23;4;27;0.23;0.04;0.27;0;0;0;19;0;0;212;29;182;1;t08;2023-03-30
³ódzkie;77;16;93;0.31;0.07;0.38;1;1;0;124;0;0;434;106;328;0;t10;2023-03-30
ma³opolskie;68;20;88;0.20;0.06;0.26;1;0;1;135;0;0;481;98;382;1;t12;2023-03-30
mazowieckie;210;59;269;0.39;0.11;0.50;8;4;4;233;0;0;1122;287;834;1;t14;2023-03-30
opolskie;17;4;21;0.17;0.04;0.21;1;0;1;17;0;0;187;22;165;0;t16;2023-03-30
podkarpackie;40;9;49;0.19;0.04;0.23;0;0;0;110;0;0;376;53;323;0;t18;2023-03-30
podlaskie;56;21;77;0.48;0.18;0.65;0;0;0;91;0;0;400;88;312;0;t20;2023-03-30
pomorskie;57;15;72;0.24;0.06;0.31;2;1;1;85;0;0;308;74;233;1;t22;2023-03-30
œl¹skie;94;27;121;0.21;0.06;0.27;1;0;1;159;0;0;716;137;578;1;t24;2023-03-30
œwiêtokrzyskie;50;20;70;0.41;0.16;0.57;0;0;0;41;0;0;210;74;136;0;t26;2023-03-30
warmiñsko-mazurskie;38;14;52;0.27;0.10;0.37;0;0;0;72;0;0;336;53;283;0;t28;2023-03-30
wielkopolskie;73;17;90;0.21;0.05;0.26;0;0;0;89;0;0;356;107;249;0;t30;2023-03-30
zachodniopomorskie;79;40;119;0.47;0.24;0.70;2;0;2;141;0;0;456;126;329;1;t32;2023-03-30
