wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;592;208;800;0.15;0.05;0.21;16;5;11;1333;0;0;4044;840;3199;5;t00;2024-01-12
dolnoœl¹skie;21;9;30;0.07;0.03;0.10;0;0;0;32;0;0;177;30;147;0;t02;2024-01-12
kujawsko-pomorskie;43;10;53;0.21;0.05;0.26;1;0;1;94;0;0;259;54;204;1;t04;2024-01-12
lubelskie;65;30;95;0.31;0.14;0.45;0;0;0;160;0;0;261;106;155;0;t06;2024-01-12
lubuskie;13;7;20;0.13;0.07;0.20;0;0;0;29;0;0;89;20;68;1;t08;2024-01-12
³ódzkie;31;10;41;0.13;0.04;0.17;1;0;1;59;0;0;139;42;97;0;t10;2024-01-12
ma³opolskie;44;18;62;0.13;0.05;0.18;3;1;2;170;0;0;285;63;221;1;t12;2024-01-12
mazowieckie;96;41;137;0.18;0.08;0.25;3;1;2;173;0;0;792;148;644;0;t14;2024-01-12
opolskie;10;6;16;0.10;0.06;0.16;2;0;2;17;0;0;91;16;75;0;t16;2024-01-12
podkarpackie;46;14;60;0.22;0.07;0.28;0;0;0;137;0;0;257;62;195;0;t18;2024-01-12
podlaskie;27;8;35;0.23;0.07;0.30;1;0;1;57;0;0;141;36;105;0;t20;2024-01-12
pomorskie;21;5;26;0.09;0.02;0.11;2;1;1;58;0;0;200;26;174;0;t22;2024-01-12
œl¹skie;45;23;68;0.10;0.05;0.15;1;1;0;136;0;0;368;72;295;1;t24;2024-01-12
œwiêtokrzyskie;20;3;23;0.16;0.02;0.19;1;0;1;19;0;0;72;24;48;0;t26;2024-01-12
warmiñsko-mazurskie;18;5;23;0.13;0.04;0.16;0;0;0;50;0;0;398;24;374;0;t28;2024-01-12
wielkopolskie;37;12;49;0.11;0.03;0.14;1;1;0;70;0;0;179;51;128;0;t30;2024-01-12
zachodniopomorskie;49;6;55;0.29;0.04;0.32;0;0;0;71;0;0;232;58;173;1;t32;2024-01-12
