wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;145;57;202;0.04;0.01;0.05;4;0;4;520;0;0;1691;213;1478;0;t00;2024-11-15
dolnoœl¹skie;6;3;9;0.02;0.01;0.03;0;0;0;26;0;0;70;9;61;0;t02;2024-11-15
kujawsko-pomorskie;10;2;12;0.05;0.01;0.06;2;0;2;50;0;0;125;15;110;0;t04;2024-11-15
lubelskie;21;4;25;0.10;0.02;0.12;0;0;0;52;0;0;100;28;72;0;t06;2024-11-15
lubuskie;6;1;7;0.06;0.01;0.07;0;0;0;10;0;0;21;8;13;0;t08;2024-11-15
³ódzkie;6;1;7;0.02;0.00;0.03;0;0;0;18;0;0;39;7;32;0;t10;2024-11-15
ma³opolskie;12;7;19;0.04;0.02;0.06;1;0;1;39;0;0;127;20;107;0;t12;2024-11-15
mazowieckie;15;5;20;0.03;0.01;0.04;0;0;0;53;0;0;444;22;422;0;t14;2024-11-15
opolskie;2;0;2;0.02;0;0.02;1;0;1;9;0;0;27;2;25;0;t16;2024-11-15
podkarpackie;14;3;17;0.07;0.01;0.08;0;0;0;62;0;0;123;17;106;0;t18;2024-11-15
podlaskie;9;5;14;0.08;0.04;0.12;0;0;0;39;0;0;61;14;47;0;t20;2024-11-15
pomorskie;4;4;8;0.02;0.02;0.03;0;0;0;27;0;0;87;8;79;0;t22;2024-11-15
œl¹skie;14;5;19;0.03;0.01;0.04;0;0;0;66;0;0;130;19;111;0;t24;2024-11-15
œwiêtokrzyskie;8;5;13;0.07;0.04;0.11;0;0;0;9;0;0;23;13;10;0;t26;2024-11-15
warmiñsko-mazurskie;7;2;9;0.05;0.01;0.06;0;0;0;12;0;0;50;9;41;0;t28;2024-11-15
wielkopolskie;5;6;11;0.01;0.02;0.03;0;0;0;27;0;0;93;11;82;0;t30;2024-11-15
zachodniopomorskie;3;4;7;0.02;0.02;0.04;0;0;0;21;0;0;104;7;97;0;t32;2024-11-15
