wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;1171;491;1662;0.31;0.13;0.43;8;6;2;1503;0;0;3920;1737;2172;11;t00;2023-11-24
dolnoœl¹skie;64;26;90;0.22;0.09;0.31;1;1;0;59;0;0;212;92;119;1;t02;2023-11-24
kujawsko-pomorskie;98;41;139;0.47;0.20;0.67;0;0;0;150;0;0;329;144;184;1;t04;2023-11-24
lubelskie;97;43;140;0.46;0.20;0.67;0;0;0;151;0;0;282;153;129;0;t06;2023-11-24
lubuskie;30;9;39;0.30;0.09;0.39;0;0;0;42;0;0;95;41;54;0;t08;2023-11-24
³ódzkie;50;25;75;0.20;0.10;0.31;0;0;0;87;0;0;173;79;92;2;t10;2023-11-24
ma³opolskie;76;27;103;0.22;0.08;0.30;1;1;0;103;0;0;237;107;128;2;t12;2023-11-24
mazowieckie;173;58;231;0.32;0.11;0.43;1;0;1;174;0;0;698;241;455;2;t14;2023-11-24
opolskie;24;13;37;0.24;0.13;0.38;0;0;0;23;0;0;88;38;49;1;t16;2023-11-24
podkarpackie;55;17;72;0.26;0.08;0.34;0;0;0;92;0;0;179;81;98;0;t18;2023-11-24
podlaskie;65;44;109;0.55;0.37;0.93;1;1;0;85;0;0;236;112;123;1;t20;2023-11-24
pomorskie;42;21;63;0.18;0.09;0.27;1;0;1;39;0;0;216;66;150;0;t22;2023-11-24
œl¹skie;107;42;149;0.24;0.09;0.33;1;1;0;165;0;0;378;152;226;0;t24;2023-11-24
œwiêtokrzyskie;34;10;44;0.28;0.08;0.36;0;0;0;32;0;0;59;46;13;0;t26;2023-11-24
warmiñsko-mazurskie;51;31;82;0.36;0.22;0.58;0;0;0;71;0;0;145;84;61;0;t28;2023-11-24
wielkopolskie;134;54;188;0.38;0.15;0.54;2;2;0;131;0;0;271;191;80;0;t30;2023-11-24
zachodniopomorskie;57;29;86;0.34;0.17;0.51;0;0;0;98;0;0;235;87;148;0;t32;2023-11-24
