wojewodztwo;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;402;185;587;0.10;0.05;0.15;7;3;4;889;0;0;2389;606;1783;0;t00;2024-10-23
dolnoœl¹skie;18;8;26;0.06;0.03;0.09;0;0;0;29;0;0;93;26;67;0;t02;2024-10-23
kujawsko-pomorskie;27;10;37;0.13;0.05;0.18;0;0;0;54;0;0;146;37;109;0;t04;2024-10-23
lubelskie;34;27;61;0.16;0.13;0.29;0;0;0;101;0;0;160;67;93;0;t06;2024-10-23
lubuskie;7;7;14;0.07;0.07;0.14;0;0;0;16;0;0;44;14;30;0;t08;2024-10-23
³ódzkie;23;1;24;0.09;0.00;0.10;0;0;0;49;0;0;88;26;62;0;t10;2024-10-23
ma³opolskie;36;17;53;0.11;0.05;0.16;2;0;2;70;0;0;161;53;108;0;t12;2024-10-23
mazowieckie;54;23;77;0.10;0.04;0.14;0;0;0;98;0;0;527;81;446;0;t14;2024-10-23
opolskie;2;3;5;0.02;0.03;0.05;0;0;0;13;0;0;50;5;45;0;t16;2024-10-23
podkarpackie;28;10;38;0.13;0.05;0.18;1;1;0;77;0;0;117;38;79;0;t18;2024-10-23
podlaskie;22;12;34;0.19;0.10;0.29;1;1;0;82;0;0;127;34;93;0;t20;2024-10-23
pomorskie;12;10;22;0.05;0.04;0.09;0;0;0;37;0;0;107;23;84;0;t22;2024-10-23
œl¹skie;56;26;82;0.12;0.06;0.18;2;1;1;127;0;0;330;82;248;0;t24;2024-10-23
œwiêtokrzyskie;21;6;27;0.17;0.05;0.22;0;0;0;24;0;0;60;27;33;0;t26;2024-10-23
warmiñsko-mazurskie;22;4;26;0.15;0.03;0.18;0;0;0;40;0;0;94;27;67;0;t28;2024-10-23
wielkopolskie;22;14;36;0.06;0.04;0.10;1;0;1;29;0;0;102;38;64;0;t30;2024-10-23
zachodniopomorskie;15;6;21;0.09;0.04;0.12;0;0;0;41;0;0;102;22;80;0;t32;2024-10-23
